VEH_SER_NO,PREPAINT_CAB,OFFLINE,CHASSIS_LINE_2,CHASSIS_LINE_1,PREPAINT_CHASSIS,FINAL_CAB,PAINT_MGR
KHN863,0,2,0,3,0,0,0
KIA624,0,0,0,0,1,2,0
KIM819,0,4,0,4,0,0,0
KLN307,0,1,0,13,1,1,0
KMA503,0,4,0,2,3,0,0
KNR831,0,4,0,19,9,1,0
KQN543,0,8,0,9,2,1,0
KSP816,0,8,0,4,2,2,0
KSX968,0,6,1,13,5,0,0
KUR214,0,1,0,3,3,3,0
KWT597,0,8,2,11,0,0,0
LEA891,0,8,0,13,1,5,0
LED479,0,5,0,9,3,0,0
LER634,0,5,1,9,2,2,0
LES327,0,0,0,0,1,0,0
LGO801,0,4,0,7,3,1,0
LMN504,0,0,0,0,7,3,0
LMW319,0,3,0,0,0,0,0
LNW546,7,0,0,0,0,0,0
LNY482,0,7,0,3,0,0,0
LOF143,0,0,4,9,5,2,0
LPU731,0,0,7,19,4,0,0
LSB176,4,0,0,0,0,0,0
LTP597,6,0,0,0,0,0,0
LTV094,0,2,0,11,3,0,0
LVP764,0,2,1,3,4,3,0
LWK693,0,12,2,18,3,2,0
LYX953,4,0,0,0,0,0,0
MAU864,0,4,6,8,2,0,0
MBF976,0,10,4,12,0,0,0
MBG962,0,0,0,0,3,0,0
MBP046,0,7,1,8,5,5,0
MGF879,0,1,0,4,4,1,0
MGR987,0,0,0,0,6,1,0
MHR081,1,0,0,0,0,0,0
MHU637,0,3,0,3,0,2,0
MPE786,0,4,2,7,1,0,0
MPO083,0,3,10,8,2,4,0
MQH836,0,2,0,9,4,1,0
MRI015,0,3,0,11,5,1,0
MTV391,0,0,0,3,3,1,0
MUJ483,0,0,0,0,3,0,0
MVW427,0,10,0,2,2,2,0
MZS530,5,0,0,0,0,0,0
NGC871,0,2,0,11,0,0,0
NHR180,0,7,1,0,0,0,0
NHZ581,0,3,4,13,10,3,0
NJP496,0,0,0,4,0,0,0
NKE126,0,3,0,1,4,1,0
NKM173,0,5,0,10,5,3,0
NMH495,3,0,0,0,0,0,0
NTD012,0,0,0,1,0,2,0
NUR218,0,4,0,10,2,2,0
NUX358,0,5,3,10,2,0,0
NVM832,0,12,5,20,0,0,0
OAR023,4,0,0,0,0,0,0
OBX267,1,0,0,0,0,0,0
ODU307,4,0,0,0,0,0,0
ODX806,0,2,0,0,0,0,0
OIF375,0,1,1,13,0,0,0
OQA530,0,5,1,11,2,1,0
OQS570,0,2,0,5,2,0,0
OSR174,0,2,0,9,4,4,0
OTS758,0,3,4,9,1,1,0
OTX594,0,2,3,8,3,0,0
OWH831,0,1,0,6,1,1,0
PCQ612,0,1,0,0,0,0,0
PEK163,0,5,4,10,0,0,0
PGN796,0,5,0,4,0,0,0
PGY640,0,8,1,6,2,1,0
PJL425,0,6,0,4,4,2,0
PLD957,5,0,0,0,0,0,0
PMG926,0,5,0,8,2,1,0
PMN417,0,4,0,8,3,1,0
PRA475,1,9,6,10,7,1,0
PSZ241,0,2,5,4,0,0,0
PVO367,0,0,0,15,2,2,0
PVZ436,0,5,5,11,4,1,0
PWR481,0,2,3,13,2,0,0
PXD385,0,9,0,0,0,0,0
PYH561,0,3,2,15,2,0,0
QBG963,5,0,0,0,0,0,0
QBR938,0,8,0,4,2,1,0
QDR380,0,10,0,9,4,2,0
QFB509,1,0,0,0,0,0,0
QFB620,0,3,2,4,0,0,0
QFW209,0,4,2,8,2,7,0
QJP284,0,0,1,11,0,2,0
QLV652,0,5,0,9,6,7,0
QMA357,0,4,0,13,2,1,0
QME682,1,3,0,5,0,1,0
QMF308,0,14,0,8,0,0,0
QPC953,0,1,0,6,2,2,0
QRM025,0,2,5,6,3,1,0
QTF497,0,0,0,4,1,1,0
QTI468,0,0,0,0,3,1,0
QVP853,0,4,2,12,8,3,0
QVS392,0,5,0,8,2,1,0
QZB271,0,6,2,9,2,0,0
QZH295,0,6,0,14,8,0,0
RAI572,0,6,0,8,3,1,0
RBT219,0,2,0,3,3,1,0
RCF947,0,7,0,10,5,3,0
RGU460,0,3,0,0,0,0,0
RHX208,0,9,3,14,7,1,0
RHZ963,0,2,0,0,0,0,0
RIW219,4,0,0,0,0,0,0
RNH842,7,0,0,0,0,0,0
RQJ940,0,8,0,10,7,1,0
RTW145,0,4,0,1,0,0,0
RUK258,0,0,0,0,2,1,0
RVM670,6,0,0,0,0,0,0
RZW691,0,6,0,1,0,0,0
SCI351,1,0,0,0,0,0,0
SCZ739,2,0,0,0,0,0,0
SEK173,0,3,1,8,2,2,0
SEK783,4,0,0,0,0,0,0
SEU602,0,0,0,0,3,3,0
SFZ186,0,1,5,7,1,0,0
SGN329,0,3,0,14,3,1,0
SIW958,0,7,0,9,3,0,0
SLP187,1,11,0,22,11,3,0
SNI285,0,3,1,17,2,0,0
SNU912,0,0,0,0,3,0,0
SOU593,0,2,0,9,1,1,0
SPA495,0,1,0,14,3,0,0
SPF970,0,2,0,1,4,2,0
SPI314,0,10,3,7,4,5,0
SUT543,2,0,0,0,0,0,0
SVK948,0,6,0,1,0,0,0
SVP127,0,12,2,24,5,0,0
SYA283,2,3,0,10,0,3,0
SYB619,0,7,0,5,2,2,0
SYV137,0,3,0,8,1,2,0
SZP362,0,7,5,10,4,2,0
TBP914,0,0,0,11,1,1,0
TCS146,0,14,0,12,2,4,0
TEK452,0,1,4,8,1,0,0
TEP325,0,5,4,12,10,1,0
TFU306,0,8,3,13,0,0,0
TFX540,0,5,0,6,3,1,0
TGJ401,0,0,2,14,0,0,0
TGS974,0,1,0,7,2,2,0
THO850,0,8,0,2,1,0,0
TIP072,0,6,0,2,0,1,0
TJV623,0,9,0,5,0,0,0
TLW135,0,2,0,3,0,0,0
TMU402,0,1,0,0,2,3,0
TMZ629,0,2,0,10,2,2,0
TNY179,0,3,4,7,0,0,0
TOR798,0,7,0,0,0,0,0
TPD286,0,5,1,13,3,1,0
TPG078,0,12,0,7,5,3,0
TPJ583,0,5,0,5,5,3,0
TQL981,0,8,1,12,3,1,0
TRJ645,0,1,2,3,4,3,0
TRL028,0,5,0,8,7,1,0
TUQ327,1,3,0,14,5,1,0
TXR569,0,0,0,0,2,2,0
TYA561,0,8,1,5,2,0,0
TZO690,0,5,5,12,5,4,0
UBJ603,0,3,1,11,3,0,0
UBZ174,0,11,0,7,1,1,0
UFV140,0,4,0,4,0,0,0
UHP854,0,5,2,16,3,3,0
UIS846,4,0,0,0,0,0,0
UJB305,0,3,2,3,0,0,0
ULN810,0,3,0,18,0,0,0
USD901,0,6,0,12,1,0,0
USH564,0,1,3,6,5,3,0
USM187,3,0,0,0,0,0,0
UWT728,0,7,0,7,0,2,0
UXJ427,0,0,0,6,2,3,0
UYZ958,0,4,2,7,1,1,0
UZV267,0,0,0,0,2,0,0
VCB259,0,1,0,0,0,0,0
VCM016,0,10,1,9,4,0,0
VFR160,0,3,15,9,4,2,0
VFX591,0,0,1,6,4,1,0
VGZ416,4,0,0,0,0,0,0
